"Time";"12-0";"Time";"13-0";"Time";"69-0";"Time";"71-0";"Time";"73-0";"Time";"74-0";"Time";"67-0";"Time";"4-0";"Time";"17-0";
"Time";"0C - Engine RPM";"Time";"0D - Vehicle Speed";"Time";"45 - Relative Throttle Position";"Time";"47 - Absolute Throttle Position B";"Time";"49 - Accelerator Pedal Position D";"Time";"4A - Accelerator Pedal Position E";"Time";"43 - Absolute Load Value";"Time";"04 - Calculated Load Value";"Time";"11 - Absolute Throttle Position";
"Time";"rpm";"Time";"km/h";"Time";"%";"Time";"%";"Time";"%";"Time";"%";"Time";"%";"Time";"%";"Time";"%";
"12:59:41.397";"1038";"12:59:39.332";"43";"12:59:37.308";"4,31372549019608";"12:59:40.888";"31,3725490196078";"12:59:38.170";"19,2156862745098";"12:59:37.547";"9,41176470588235";"12:59:37.619";"10,9803921568627";"12:59:41.219";"14,9019607843137";"12:59:38.475";"14,9036";
"12:59:42.212";"906";"12:59:41.483";"32";"12:59:39.409";"3,92156862745098";"12:59:42.469";"30,9803921568627";"12:59:39.567";"19,6078431372549";"12:59:38.248";"9,41176470588235";"12:59:38.319";"10,5882352941176";"12:59:45.878";"28,6274509803922";"12:59:40.575";"14,5114";
"12:59:47.598";"1443";"12:59:45.369";"21";"12:59:40.109";"3,92156862745098";"12:59:53.870";"32,156862745098";"12:59:40.264";"19,2156862745098";"12:59:44.181";"9,41176470588235";"12:59:39.021";"10,5882352941176";"12:59:46.644";"24,7058823529412";"12:59:50.589";"17,2568";
"12:59:52.942";"1319";"12:59:48.460";"20";"12:59:42.384";"3,13725490196078";"12:59:58.032";"32,156862745098";"12:59:40.968";"19,2156862745098";"12:59:45.717";"9,41176470588235";"12:59:39.716";"10,9803921568627";"12:59:51.277";"34,5098039215686";"12:59:57.031";"15,2958";
"12:59:54.330";"1174";"12:59:49.228";"22";"12:59:47.772";"10,5882352941176";"13:00:02.194";"35,2941176470588";"12:59:41.739";"19,2156862745098";"12:59:50.338";"12,9411764705882";"12:59:40.412";"10,9803921568627";"12:59:56.259";"22,7450980392157";"12:59:57.722";"15,2958";
"12:59:55.725";"1034";"12:59:59.268";"17";"12:59:55.188";"4,31372549019608";"13:00:05.363";"31,7647058823529";"12:59:44.094";"19,2156862745098";"12:59:57.497";"9,41176470588235";"12:59:41.131";"10,9803921568627";"13:00:12.431";"27,4509803921569";"12:59:59.805";"19,61";
"12:59:58.495";"910";"13:00:02.041";"21";"12:59:56.569";"5,09803921568627";"13:00:12.750";"32,156862745098";"12:59:56.035";"19,2156862745098";"13:00:00.276";"14,1176470588235";"12:59:41.901";"12,156862745098";"13:00:12.993";"30,5882352941176";"13:00:00.504";"19,61";
"12:59:59.187";"922";"13:00:05.226";"19";"12:59:58.650";"5,09803921568627";"13:00:13.867";"33,7254901960784";"12:59:59.498";"29,4117647058824";"13:00:04.882";"9,41176470588235";"12:59:42.715";"9,41176470588235";"13:00:17.488";"44,7058823529412";"13:00:05.084";"14,9036";
"13:00:01.960";"1202";"13:00:07.709";"20";"13:00:00.042";"10,5882352941176";"13:00:15.554";"36,4705882352941";"13:00:04.192";"19,2156862745098";"13:00:10.478";"9,41176470588235";"12:59:43.490";"10,9803921568627";"13:00:18.606";"42,3529411764706";"13:00:19.226";"17,649";
"13:00:03.913";"695";"13:00:13.740";"10";"13:00:06.532";"8,62745098039216";"13:00:16.113";"36,4705882352941";"13:00:05.432";"21,5686274509804";"13:00:17.361";"14,1176470588235";"12:59:44.258";"25,4901960784314";"13:00:20.281";"12,5490196078431";"13:00:21.555";"14,5114";
"13:00:05.154";"934";"13:00:14.306";"11";"13:00:14.369";"12,5490196078431";"13:00:17.233";"35,2941176470588";"13:00:07.918";"19,2156862745098";"13:00:20.158";"9,41176470588235";"12:59:45.022";"20";"13:00:22.101";"26,6666666666667";"13:00:22.786";"15,688";
"13:00:10.754";"781";"13:00:18.241";"22";"13:00:14.938";"11,7647058823529";"13:00:19.479";"33,7254901960784";"13:00:09.159";"19,2156862745098";"13:00:21.354";"9,41176470588235";"12:59:45.791";"21,5686274509804";"13:00:23.334";"30,1960784313725";"13:00:27.726";"21,1788";
"13:00:12.558";"736";"13:00:22.311";"15";"13:00:16.051";"12,9411764705882";"13:00:20.610";"32,5490196078431";"13:00:12.812";"19,2156862745098";"13:00:25.051";"9,41176470588235";"12:59:46.558";"24,3137254901961";"13:00:28.275";"48,2352941176471";"13:00:30.922";"15,2958";
"13:00:14.811";"1969";"13:00:33.110";"13";"13:00:22.994";"4,70588235294118";"13:00:21.832";"30,9803921568627";"13:00:13.368";"19,2156862745098";"13:00:32.064";"9,41176470588235";"12:59:47.335";"41,1764705882353";"13:00:30.846";"16,078431372549";"13:00:32.957";"14,9036";
"13:00:18.179";"1798";"13:00:42.855";"29";"13:00:23.610";"5,09803921568627";"13:00:23.679";"32,156862745098";"13:00:18.979";"26,2745098039216";"13:00:44.674";"9,41176470588235";"12:59:48.114";"39,6078431372549";"13:00:31.525";"20,3921568627451";"13:00:34.988";"16,0802";
"13:00:22.856";"906";"13:00:47.314";"17";"13:00:27.934";"12,9411764705882";"13:00:30.547";"31,7647058823529";"13:00:20.096";"19,2156862745098";"13:00:45.416";"9,41176470588235";"12:59:48.881";"50,5882352941176";"13:00:34.234";"23,921568627451";"13:00:36.325";"22,3554";
"13:00:25.949";"863";"13:00:54.356";"21";"13:00:29.174";"10,1960784313725";"13:00:33.263";"32,156862745098";"13:00:24.359";"19,2156862745098";"13:00:58.016";"16,4705882352941";"12:59:49.650";"43,921568627451";"13:00:49.320";"31,3725490196078";"13:00:38.349";"22,3554";
"13:00:27.186";"2053";"13:00:56.008";"27";"13:00:31.836";"5,09803921568627";"13:00:37.977";"37,2549019607843";"13:00:24.983";"19,2156862745098";"13:00:58.854";"16,078431372549";"12:59:50.418";"41,9607843137255";"13:00:58.197";"72,5490196078431";"13:00:40.444";"20,7866";
"13:00:29.038";"1936";"13:00:57.658";"32";"13:00:38.577";"13,7254901960784";"13:00:38.655";"37,2549019607843";"13:00:25.605";"19,2156862745098";"13:01:02.130";"14,9019607843137";"12:59:51.190";"29,4117647058824";"13:01:00.673";"65,4901960784314";"13:00:42.684";"18,4334";
"13:00:31.681";"870";"13:01:04.154";"42";"13:00:41.438";"13,3333333333333";"13:00:40.788";"36,4705882352941";"13:00:30.625";"19,2156862745098";"13:01:02.954";"14,5098039215686";"12:59:51.956";"31,7647058823529";"13:01:09.192";"20";"13:00:46.408";"15,2958";
"13:00:33.032";"959";"13:01:09.443";"39";"13:00:42.184";"9,01960784313725";"13:00:43.761";"31,7647058823529";"13:00:32.663";"19,2156862745098";"13:01:06.700";"9,41176470588235";"12:59:52.707";"30,1960784313725";"13:01:14.410";"26,6666666666667";"13:01:00.764";"21,9632";
"13:00:40.531";"1888";"13:01:14.638";"20";"13:00:42.939";"3,92156862745098";"13:00:58.666";"38,0392156862745";"13:00:36.701";"31,7647058823529";"13:01:08.180";"9,41176470588235";"12:59:53.402";"21,9607843137255";"13:01:17.112";"60";"13:01:04.728";"18,0412";
"13:00:44.998";"1134";"13:01:15.297";"19";"13:00:48.909";"5,09803921568627";"13:01:07.272";"31,3725490196078";"13:00:37.380";"31,7647058823529";"13:01:09.025";"9,41176470588235";"12:59:54.096";"13,3333333333333";"13:01:17.779";"58,4313725490196";"13:01:06.206";"17,649";
"13:00:45.744";"1083";"13:01:19.337";"27";"13:00:51.996";"10,9803921568627";"13:01:13.298";"31,7647058823529";"13:00:40.872";"30,5882352941176";"13:01:12.724";"9,41176470588235";"12:59:54.797";"10,5882352941176";"13:01:21.139";"18,4313725490196";"13:01:06.943";"14,9036";
"13:00:47.995";"785";"13:01:37.248";"0";"13:00:59.400";"15,2941176470588";"13:01:25.953";"32,5490196078431";"13:01:09.694";"19,2156862745098";"13:01:13.484";"9,41176470588235";"12:59:55.491";"17,2549019607843";"13:01:22.473";"19,6078431372549";"13:01:07.677";"14,1192";
"13:00:55.092";"2308";"13:01:37.789";"0";"13:01:04.238";"9,01960784313725";"13:01:28.363";"35,2941176470588";"13:01:10.423";"19,2156862745098";"13:01:14.936";"9,41176470588235";"12:59:56.180";"17,6470588235294";"13:01:26.216";"32,9411764705882";"13:01:08.497";"14,9036";
"13:00:58.387";"2226";"13:01:41.022";"4";"13:01:05.713";"8,62745098039216";"13:01:33.222";"32,156862745098";"13:01:11.902";"19,2156862745098";"13:01:19.633";"14,1176470588235";"12:59:56.874";"17,6470588235294";"13:01:26.812";"30,5882352941176";"13:01:10.011";"14,9036";
"13:01:03.301";"1923";"13:01:47.244";"26";"13:01:10.260";"3,92156862745098";"13:01:35.199";"31,7647058823529";"13:01:12.650";"19,2156862745098";"13:01:30.980";"9,41176470588235";"12:59:57.567";"18,4313725490196";"13:01:29.221";"49,4117647058824";"13:01:15.148";"15,688";
"13:01:10.832";"920";"13:01:48.432";"27";"13:01:11.003";"3,92156862745098";"13:01:36.280";"31,7647058823529";"13:01:15.522";"19,6078431372549";"13:01:31.581";"9,41176470588235";"12:59:58.256";"21,1764705882353";"13:01:32.323";"28,2352941176471";"13:01:18.515";"21,571";
"13:01:13.051";"859";"13:01:49.024";"27";"13:01:13.216";"3,92156862745098";"13:01:37.909";"31,7647058823529";"13:01:36.340";"19,2156862745098";"13:01:32.195";"9,41176470588235";"12:59:58.951";"21,5686274509804";"13:01:32.922";"33,3333333333333";"13:01:24.489";"15,2958";
"13:01:13.799";"862";"13:01:51.023";"18";"13:01:16.039";"15,2941176470588";"13:01:38.447";"31,7647058823529";"13:01:38.506";"19,2156862745098";"13:01:35.318";"9,41176470588235";"12:59:59.648";"50,5882352941176";"13:01:33.462";"34,5098039215686";"13:01:31.777";"14,9036";
